case,backend,font_size,subpixel,fg,bg,origin,tileink_ink,reference_ink,ink_ratio,mae_luma,rmse_luma,mae_rgb,max_rgb,fringe_delta,tileink_bbox,reference_bbox
rgb_black_on_white_12px_x0_y0,cpu,12.0,rgb,#000000ff,#ffffffff,0.000:0.000,442.940666,362.858732,1.220697,0.00655022,0.06070118,0.00599210,255,-0.06297127,24:24:192:33,24:28:194:37
rgb_black_on_white_12px_x1of3_yhalf,cpu,12.0,rgb,#000000ff,#ffffffff,0.333:0.500,467.125755,360.616656,1.295353,0.00362928,0.03586463,0.00501722,214,-0.11935163,24:23:193:33,25:28:194:37
rgb_white_on_black_12px_x0_y0,cpu,12.0,rgb,#ffffffff,#000000ff,0.000:0.000,527.955254,514.747068,1.025660,0.00793524,0.07300240,0.00714404,255,-0.05457847,24:24:192:33,24:28:194:37
rgb_white_on_black_12px_x1of3_yhalf,cpu,12.0,rgb,#ffffffff,#000000ff,0.333:0.500,574.248818,519.070365,1.106302,0.00378030,0.03937402,0.00540223,236,-0.09250109,24:23:193:33,25:28:194:37
rgb_black_on_gray_12px_x0_y0,cpu,12.0,rgb,#000000ff,#e0e0e0ff,0.000:0.000,294.582773,318.819942,0.923979,0.00530294,0.04983683,0.00480482,224,-0.06460294,24:24:192:33,24:28:194:37
rgb_black_on_gray_12px_x1of3_yhalf,cpu,12.0,rgb,#000000ff,#e0e0e0ff,0.333:0.500,288.241895,316.832155,0.909762,0.00283060,0.02912651,0.00398510,216,-0.12517731,24:23:193:33,25:28:194:37
rgb_white_on_gray_12px_x0_y0,cpu,12.0,rgb,#ffffffff,#303030ff,0.000:0.000,398.821991,417.831748,0.954504,0.00642912,0.05897880,0.00576024,207,-0.04014582,24:24:192:33,24:28:194:37
rgb_white_on_gray_12px_x1of3_yhalf,cpu,12.0,rgb,#ffffffff,#303030ff,0.333:0.500,426.885204,421.274591,1.013318,0.00303761,0.03128456,0.00435039,198,-0.07507590,24:23:193:33,25:28:194:37
bgr_black_on_white_12px_x0_y0,cpu,12.0,bgr,#000000ff,#ffffffff,0.000:0.000,443.211730,363.640016,1.218820,0.00586747,0.05551363,0.00599304,255,-0.06302119,24:24:192:33,24:28:194:37
bgr_black_on_white_12px_x1of3_yhalf,cpu,12.0,bgr,#000000ff,#ffffffff,0.333:0.500,466.578416,360.495526,1.294270,0.00331329,0.03400345,0.00501661,214,-0.11926553,24:23:193:33,25:28:194:37
bgr_white_on_black_12px_x0_y0,cpu,12.0,bgr,#ffffffff,#000000ff,0.000:0.000,527.724558,513.328753,1.028044,0.00696232,0.06582709,0.00714404,255,-0.05457847,24:24:192:33,24:28:194:37
bgr_white_on_black_12px_x1of3_yhalf,cpu,12.0,bgr,#ffffffff,#000000ff,0.333:0.500,573.792380,519.234991,1.105073,0.00335787,0.03713114,0.00540223,236,-0.09250109,24:23:193:33,25:28:194:37
bgr_black_on_gray_12px_x0_y0,cpu,12.0,bgr,#000000ff,#e0e0e0ff,0.000:0.000,294.861116,319.512582,0.922847,0.00477340,0.04581486,0.00480502,224,-0.06460294,24:24:192:33,24:28:194:37
bgr_black_on_gray_12px_x1of3_yhalf,cpu,12.0,bgr,#000000ff,#e0e0e0ff,0.333:0.500,287.844451,316.724790,0.908816,0.00251535,0.02741458,0.00398506,216,-0.12517339,24:23:193:33,25:28:194:37
bgr_white_on_gray_12px_x0_y0,cpu,12.0,bgr,#ffffffff,#303030ff,0.000:0.000,398.605610,416.690379,0.956599,0.00564311,0.05319636,0.00576024,207,-0.04014582,24:24:192:33,24:28:194:37
bgr_white_on_gray_12px_x1of3_yhalf,cpu,12.0,bgr,#ffffffff,#303030ff,0.333:0.500,426.631383,421.414991,1.012378,0.00274656,0.02950753,0.00435039,198,-0.07507590,24:23:193:33,25:28:194:37
gray_black_on_white_12px_x0_y0,cpu,12.0,gray,#000000ff,#ffffffff,0.000:0.000,446.168627,362.223529,1.231749,0.00171333,0.01846223,0.00171333,85,0.00000000,24:24:192:33,25:28:193:37
gray_black_on_white_12px_x1of3_yhalf,cpu,12.0,gray,#000000ff,#ffffffff,0.333:0.500,470.776471,360.972549,1.304189,0.00356488,0.03588757,0.00356488,166,0.00000000,24:23:193:33,25:28:194:37
gray_white_on_black_12px_x0_y0,cpu,12.0,gray,#ffffffff,#000000ff,0.000:0.000,530.847059,513.180392,1.034426,0.00072958,0.01094567,0.00072958,127,0.00000000,24:24:192:33,25:28:193:37
gray_white_on_black_12px_x1of3_yhalf,cpu,12.0,gray,#ffffffff,#000000ff,0.333:0.500,577.819608,518.552941,1.114292,0.00345618,0.03844707,0.00345618,198,0.00000000,24:23:193:33,25:28:194:37
gray_black_on_gray_12px_x0_y0,cpu,12.0,gray,#000000ff,#e0e0e0ff,0.000:0.000,296.156863,317.909804,0.931575,0.00082031,0.00996823,0.00082031,78,0.00000000,24:24:192:33,25:28:193:37
gray_black_on_gray_12px_x1of3_yhalf,cpu,12.0,gray,#000000ff,#e0e0e0ff,0.333:0.500,289.764706,316.827451,0.914582,0.00269213,0.02866265,0.00269213,147,0.00000000,24:23:193:33,25:28:194:37
gray_white_on_gray_12px_x0_y0,cpu,12.0,gray,#ffffffff,#303030ff,0.000:0.000,400.482353,416.235294,0.962154,0.00061493,0.00786433,0.00061493,103,0.00000000,24:24:192:33,25:28:193:37
gray_white_on_gray_12px_x1of3_yhalf,cpu,12.0,gray,#ffffffff,#303030ff,0.333:0.500,428.949020,420.623529,1.019793,0.00279960,0.03041925,0.00279960,152,0.00000000,24:23:193:33,25:28:194:37
rgb_black_on_white_16px_x0_y0,cpu,16.0,rgb,#000000ff,#ffffffff,0.000:0.000,724.476677,604.557893,1.198358,0.00276010,0.02442713,0.00543448,208,-0.06211071,24:24:249:36,25:29:250:41
rgb_black_on_white_16px_x1of3_yhalf,cpu,16.0,rgb,#000000ff,#ffffffff,0.333:0.500,740.990202,601.426489,1.232054,0.00512539,0.04308411,0.00730441,230,-0.08896708,24:23:249:36,25:30:250:42
rgb_white_on_black_16px_x0_y0,cpu,16.0,rgb,#ffffffff,#000000ff,0.000:0.000,846.826874,814.344553,1.039888,0.00188795,0.01834112,0.00514747,235,-0.06614297,24:24:249:36,25:29:250:41
rgb_white_on_black_16px_x1of3_yhalf,cpu,16.0,rgb,#ffffffff,#000000ff,0.333:0.500,888.337122,818.179624,1.085748,0.00511923,0.04502879,0.00734051,250,-0.06793381,24:23:249:36,25:30:250:42
rgb_black_on_gray_16px_x0_y0,cpu,16.0,rgb,#000000ff,#e0e0e0ff,0.000:0.000,500.239308,531.103122,0.941887,0.00172211,0.01564431,0.00439658,190,-0.04091345,24:24:249:36,25:29:250:41
rgb_black_on_gray_16px_x1of3_yhalf,cpu,16.0,rgb,#000000ff,#e0e0e0ff,0.333:0.500,488.438826,528.296515,0.924554,0.00416941,0.03576468,0.00608937,213,-0.07714056,24:23:249:36,25:30:250:42
rgb_white_on_gray_16px_x0_y0,cpu,16.0,rgb,#ffffffff,#303030ff,0.000:0.000,644.437856,661.097227,0.974800,0.00144942,0.01366119,0.00415486,191,-0.04501269,24:24:249:36,25:29:250:41
rgb_white_on_gray_16px_x1of3_yhalf,cpu,16.0,rgb,#ffffffff,#303030ff,0.333:0.500,670.505675,664.212460,1.009475,0.00414766,0.03601339,0.00596564,202,-0.05191278,24:23:249:36,25:30:250:42
bgr_black_on_white_16px_x0_y0,cpu,16.0,bgr,#000000ff,#ffffffff,0.000:0.000,724.074426,604.994509,1.196828,0.00270488,0.02385439,0.00543422,208,-0.06210473,24:24:249:36,25:29:250:41
bgr_black_on_white_16px_x1of3_yhalf,cpu,16.0,bgr,#000000ff,#ffffffff,0.333:0.500,740.292056,601.768955,1.230193,0.00474638,0.04071288,0.00730441,230,-0.08896708,24:23:249:36,25:30:250:42
bgr_white_on_black_16px_x0_y0,cpu,16.0,bgr,#ffffffff,#000000ff,0.000:0.000,848.267213,813.393687,1.042874,0.00175275,0.01758580,0.00514747,235,-0.06614297,24:24:249:36,25:29:250:41
bgr_white_on_black_16px_x1of3_yhalf,cpu,16.0,bgr,#ffffffff,#000000ff,0.333:0.500,887.803602,818.085474,1.085221,0.00445049,0.04184716,0.00734051,250,-0.06793381,24:23:249:36,25:30:250:42
bgr_black_on_gray_16px_x0_y0,cpu,16.0,bgr,#000000ff,#e0e0e0ff,0.000:0.000,499.403947,531.503950,0.939605,0.00156729,0.01424858,0.00439658,190,-0.04091943,24:24:249:36,25:29:250:41
bgr_black_on_gray_16px_x1of3_yhalf,cpu,16.0,bgr,#000000ff,#e0e0e0ff,0.333:0.500,487.548525,528.596035,0.922346,0.00371089,0.03351838,0.00608937,213,-0.07714056,24:23:249:36,25:30:250:42
