backend,font_size,subpixel,fg,bg,cases,avg_ink_ratio,avg_abs_ink_error,avg_mae_luma,avg_rmse_luma,avg_mae_rgb,max_rgb,avg_fringe_delta
cpu,12.0,bgr,#000000ff,#e0e0e0ff,2,0.997132,0.003190,0.00369647,0.03678167,0.00447552,224,-0.08924862
cpu,12.0,bgr,#000000ff,#ffffffff,2,1.030066,0.030066,0.00423188,0.04196354,0.00513131,255,-0.10170571
cpu,12.0,bgr,#ffffffff,#000000ff,2,1.066558,0.066558,0.00516010,0.05147912,0.00627314,255,-0.07353978
cpu,12.0,bgr,#ffffffff,#303030ff,2,0.984489,0.027890,0.00419483,0.04135195,0.00505531,207,-0.05761086
cpu,12.0,gray,#000000ff,#e0e0e0ff,2,1.005508,0.005508,0.00180262,0.01918086,0.00180262,137,0.00000000
cpu,12.0,gray,#000000ff,#ffffffff,2,1.037742,0.037742,0.00210831,0.02215895,0.00210831,151,0.00000000
cpu,12.0,gray,#ffffffff,#000000ff,2,1.074359,0.074359,0.00209288,0.02469637,0.00209288,198,0.00000000
cpu,12.0,gray,#ffffffff,#303030ff,2,0.990973,0.028820,0.00170726,0.01914179,0.00170726,152,0.00000000
cpu,12.0,rgb,#000000ff,#e0e0e0ff,2,0.998164,0.002985,0.00413418,0.03974971,0.00447550,224,-0.08924728
cpu,12.0,rgb,#000000ff,#ffffffff,2,1.031190,0.031190,0.00473618,0.04537398,0.00513130,255,-0.10169984
cpu,12.0,rgb,#ffffffff,#000000ff,2,1.065981,0.065981,0.00585777,0.05618821,0.00627314,255,-0.07353978
cpu,12.0,rgb,#ffffffff,#303030ff,2,0.983911,0.029407,0.00473337,0.04513168,0.00505531,207,-0.05761086
cpu,16.0,bgr,#000000ff,#e0e0e0ff,2,0.999374,0.002891,0.00266449,0.02375272,0.00528149,210,-0.05946278
cpu,16.0,bgr,#000000ff,#ffffffff,2,1.025287,0.025287,0.00308976,0.02733320,0.00604218,237,-0.06915850
